,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2357,002698,博实股份,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,0.0,59.684,3.966,773047.8,602545.815144
2358,002697,红旗连锁,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,0.0,45.333,3.117,739840.0,470029.1104
2359,002696,百洋股份,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,0.0,38.732,2.489,551109.61137,245934.07998
2360,002695,煌上煌,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,59.929,4.766,844927.54632,766281.70632
2361,002694,顾地科技,0.0,0.0,0.0,0.0,0.0,7.55,0.0,0.0,0.0,37.75,3.996,450883.584,375189.00691
2362,002693,双成药业,0.0,0.0,0.0,0.0,0.0,7.85,0.0,0.0,0.0,392.5,5.407,317925.0,316682.204485
2363,002692,睿康股份,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,59.923,2.971,448841.25,362293.250625
2364,002691,冀凯股份,0.0,0.0,0.0,0.0,0.0,22.82,0.0,0.0,0.0,491.81,5.291,456400.0,454666.188886
2365,002690,美亚光电,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,0.0,38.58,6.281,1406756.0,679630.216923
2366,002689,远大智能,0.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,118.302,2.975,423015.076016,419173.813154
2367,002688,金河生物,0.0,0.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0,38.706,2.688,418020.59299,350442.955324
2368,002687,乔治白,0.0,0.0,0.0,0.0,0.0,6.66,0.0,0.0,0.0,31.714,2.306,236331.432,212735.052
2369,002686,亿利达,0.0,0.0,0.0,0.0,0.0,9.94,0.0,0.0,0.0,31.16,2.887,440423.528874,323995.076314
2370,002685,华东重机,0.0,0.0,0.0,0.0,0.0,9.38,0.0,0.0,0.0,55.144,2.11,945213.821258,525279.9531
2371,002684,猛狮科技,0.0,0.0,0.0,0.0,0.0,13.17,0.0,0.0,0.0,-54.875,2.754,747232.070313,513742.903776
2372,002683,宏大爆破,0.0,0.0,0.0,0.0,0.0,11.19,0.0,0.0,0.0,48.652,2.613,784965.052977,666730.268649
2373,002682,龙洲股份,0.0,0.0,0.0,0.0,0.0,10.13,0.0,0.0,0.0,21.104,1.3900000000000001,379786.257148,291824.25999
2374,002681,奋达科技,0.0,0.0,0.0,0.0,0.0,9.87,0.0,0.0,0.0,29.029,2.345,1460145.959664,713816.460126
2375,002680,长生生物,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,44.776,6.331,2541331.88658,1046418.78357
2376,002679,福建金森,0.0,0.0,0.0,0.0,0.0,26.75,0.0,0.0,0.0,66.875,4.734,370969.0,370969.0
2377,002678,珠江钢琴,0.0,0.0,0.0,0.0,0.0,10.32,0.0,0.0,0.0,60.706,3.326,1078297.364184,984025.784424
